date_block_num,revenue
0,91947091.1299997
1,90665707.36999977
2,104932687.1499996
3,69154285.54999954
4,65065312.459999666
5,79550405.82999893
6,69350599.8799999
7,74297969.64000005
8,119081891.68000044
9,107241612.52999991
10,138665439.30000573
11,207571731.4600014
12,98226022.94999976
13,107431122.75999957
14,109115405.33999792
15,80651755.21999972
16,91281733.83000056
17,82668538.6599995
18,76487921.3199997
19,89604092.27000004
20,114723593.96999823
21,112525522.33999938
22,152037599.33999887
23,232025170.80999845
24,118927699.77999905
25,86593883.89000057
26,86476266.59999973
27,90252813.75999585
28,88577438.23999824
29,65397995.42999958
30,59405787.169999816
31,61748964.71000002
32,92905169.14000146
33,84337113.06000003
